Packet drops detected:
At index 31095 (Timestamp: 20240605 15:00:59), Delay: 2.0 seconds
At index 31099 (Timestamp: 20240605 15:01:04), Delay: 2.0 seconds
At index 31139 (Timestamp: 20240605 15:01:45), Delay: 2.0 seconds
At index 31163 (Timestamp: 20240605 15:02:10), Delay: 2.0 seconds
At index 31196 (Timestamp: 20240605 15:02:44), Delay: 2.0 seconds
At index 31218 (Timestamp: 20240605 15:03:07), Delay: 2.0 seconds
At index 31280 (Timestamp: 20240605 15:04:10), Delay: 2.0 seconds
At index 31299 (Timestamp: 20240605 15:04:30), Delay: 2.0 seconds
At index 31339 (Timestamp: 20240605 15:05:11), Delay: 2.0 seconds
At index 31363 (Timestamp: 20240605 15:05:36), Delay: 2.0 seconds
At index 31405 (Timestamp: 20240605 15:06:19), Delay: 2.0 seconds
At index 31422 (Timestamp: 20240605 15:06:37), Delay: 2.0 seconds
At index 31474 (Timestamp: 20240605 15:07:30), Delay: 2.0 seconds
At index 31499 (Timestamp: 20240605 15:07:56), Delay: 2.0 seconds
